trader,win_rate,avg_trade_size,total_trade_volume,total_trade_number,frequency,net_gains_loss,avg_odds
0xAEc11b8c4AB71b77a7637610717A6551783dcE11,0.7219251336898396,35.496405390374335,6637.827808,187,3.74,128.35604397268634,0.6562837689018761
0x59D6c081a3f9F35b7563a9EBfFFB3119dc590704,0.8098471986417657,19.768773074702885,11643.807341,589,2.5608695652173914,3203.554290926047,0.2553136474050991
0x13961756633256911A6832eA7851CD87Ef717a82,0.06377551020408163,4.423431634353742,5201.955602,1176,21.0,-106.08424068176778,0.5444944136849568
0x2Ab06e571158cAF724f6489b9Ce2CcfeF56eF2d7,0.6019184652278178,17.531475820143886,7310.625417,417,52.125,827.0748831594566,0.4886308926193386
0x186e53be243B9C81f7B51C934B5d1e53bDb977A0,0.7155172413793104,6.148806387931034,713.261541,116,5.8,84.0025437234217,0.4713857783013397
0x8840b6659eFdD2D2159d2d076d067833ba7eC464,0.5209580838323353,32.07953740419162,10714.565493,334,0.8675324675324675,661.2291365811546,0.46849812456658824
0x769c6684c03357F2BB1d07452037085AEc856479,0.6358974358974359,49.34457698461538,9622.192512,195,1.989795918367347,-1137.120272028598,0.4046375277638486
0x68F7a83Ba720f5E9DD882e521a473064f549C0b7,0.5391304347826087,5.986389556521739,688.434799,115,0.33045977011494254,143.355299,0.34452173888000004
0xFa86aeAf936E05045936EcE5cd6067fc7D18fcA7,0.3950617283950617,65.16453529012345,10556.654717,162,0.44141689373297005,-12.862748883717064,0.5091225531564372
0x851EBE7c78984d7220Bad8ae47C7632E9B0ec222,0.40869565217391307,90.15930246086955,10368.319782999999,115,0.3133514986376022,221.427902244519,0.5441940404881286
0x99e6c9b53c274060817D9Dd4a44a8650B59070fF,0.47586206896551725,18.01780096551724,2612.58114,145,0.3918918918918919,199.70508278149137,0.542039504446586
0xB223771f6E1fCE651646D55b02fC516972A6cb07,0.6175438596491228,46.44272032631579,13236.175293,285,12.954545454545455,-724.0769333056749,0.5779322483357406
0x7253C03B80Da18072dEABf0E3d6Fa5DFaDB3505A,0.6511194029850746,36.12833868470149,19364.789535,536,5.6421052631578945,3797.3164736921963,0.31269906659274177
0x06Dd9ba59e1FE7F09DC4D1d17D33EC361E34Af8B,0.4989293361884368,38.56992859100643,18012.156652,467,5.4941176470588236,239.91160664457965,0.4838635436599532
0x27D1a641eE3a34636b4C445446a0D970AD7DDD72,0.3641304347826087,30.000106423913042,5520.019582,184,0.46,-4.907903679918648,0.5075159884750561
0x98df53e92FE46FcF8313212f97E0BdcA9bFb0315,0.1523809523809524,15.967150142857143,1676.550765,105,0.2777777777777778,1122.1456754751996,0.5049801240634544
0x9919Ccea9d728d5dE7318e59ABeF8faaFE21D378,0.6541666666666667,3.8513187583333335,924.316502,240,3.3333333333333335,97.01278468348222,0.4223316993953455
0x93E67EbC106CA0023ECB14Caf23A5c0e1bD4798F,0.7475728155339806,62.51308271359223,12877.695039,206,18.727272727272727,128.81924274250906,0.18879911608146893
0x7E649FADC66AF46f8633C3f5F99d96Fd59717308,0.5216763005780347,58.78407735260116,40678.581528,692,3.9318181818181817,-1697.0676016062594,0.41987226412425505
0x6522A1Bac1aef6FCD9CbC8f8801e1aB21F7C9A2d,0.6391752577319587,4.954991984536083,961.268445,194,2.042105263157895,77.94595610876003,0.48607568119572236
0x88544e803d405EcC2743978803c2d2Fa7049180f,0.48484848484848486,256.9493809469697,33917.318285,132,0.2732919254658385,33.583671350686274,0.5768332871007469
0x24bC4169bF0878d05F3af35c988dE2418E6Afd48,0.484472049689441,1.314325857142857,211.606463,161,23.0,-20.577429957052814,0.5737686122003332
0x4AB47D48A232C19762f18209DbB58d7b940De073,0.37623762376237624,12.512061166336634,6318.590889,505,4.1735537190082646,-37.82615567823107,0.4582199693205813
0x6372DA9bAFb7B58afC3aD51A94dB36BAacc413bD,0.01652892561983471,21.7405973553719,2630.61228,121,1.0,-13.835449837900898,0.5863883861020281
0x418692d7530bDD1dE3Df9C275A38E32a35Cca2F2,0.6545454545454545,2.4994361909090905,274.937981,110,0.4700854700854701,29.74915836264906,0.4890828600514087
0xBe118A2D14639621A4cA3cd1603FB1bA924F7A9a,0.1391941391941392,164.20346106593405,44827.544871,273,2.2016129032258065,-905.9295151515827,0.5836019283949124
0xf6c345Ce2085784FF4fBC3eB2Da757136AC0849c,1.0,1.04,2.08,2,2.0,2.08,0.013000000000000001
0x23c3FA53f913129Ba2dA181d9b20083cEce7Ad95,0.642578125,31.326781162109373,32078.62391,1024,4.129032258064516,-124.50913646635124,0.5139345524602164
